t_s,ref_x_mm,ref_y_mm,ref_psi_deg,pose_x_mm,pose_y_mm,pose_psi_deg,err_x_mm,err_y_mm,err_psi_deg
0.00000,240.00000,0.00000,0.00000,240.00000,-0.00001,0.00002,0.00000,-0.00001,0.00002
0.15000,240.00000,0.00000,0.00000,240.00000,-0.00001,0.00001,0.00000,-0.00001,0.00001
0.30000,240.00000,0.00000,0.00000,240.00000,-0.00000,0.00001,0.00000,-0.00000,0.00001
0.45000,240.00000,0.00000,0.00000,240.00000,-0.00000,0.00001,0.00000,-0.00000,0.00001
0.60000,240.00000,0.00000,0.00000,240.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000
0.75000,240.00000,0.00000,0.00000,240.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000
0.90000,240.00000,0.00000,0.00000,240.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000
1.05000,240.00000,0.00000,0.00000,240.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000
1.20000,240.00000,0.00000,0.00000,240.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000
1.35000,240.00000,0.00000,0.00000,240.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.50000,240.00000,0.00000,0.00000,240.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.65000,240.00000,0.00000,0.00000,240.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.80000,240.00000,0.00000,0.00000,240.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.95000,240.00000,0.00000,0.00000,240.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2.10000,240.00000,0.00000,0.00000,240.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2.25000,240.00000,0.00000,0.00000,240.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2.40000,240.00000,0.00000,0.00000,240.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2.55000,240.00000,0.00000,0.00000,240.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2.70000,240.00000,0.00000,0.00000,240.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2.85000,240.00000,0.00000,0.00000,240.00000,0.00000,0.00000,0.00000,0.00000,0.00000
3.00000,240.00000,0.00000,0.00000,240.00000,0.00000,0.00000,0.00000,0.00000,0.00000
3.15000,240.00000,0.00000,0.00000,239.79309,-4.55419,-0.10797,-0.20691,-4.55419,-0.10797
3.30000,240.00000,0.00000,0.00000,239.90917,-2.26754,-0.09497,-0.09083,-2.26754,-0.09497
